9,0dB,950,289,301,544,567,540,546,-6,-1.09,23
10,0dB,950,580,585,546,550,540,547,-7,-1.27,4
11,0dB,950,1159,1166,545,548,539,546,-7,-1.28,3
12,0dB,950,2317,2333,544,548,538,545,-7,-1.28,4
9,2.5dB,1250,289,297,725,743,709,727,-18,-2.47,18
10,2.5dB,1250,579,582,725,728,709,726,-17,-2.34,3
11,2.5dB,1250,1158,1161,724,726,708,725,-17,-2.34,2
12,2.5dB,1250,2315,2324,724,727,707,724,-17,-2.34,3
9,6dB,1750,282,285,1002,1012,966,1002,-36,-3.59,10
10,6dB,1750,564,565,1002,1004,966,1003,-37,-3.68,2
11,6dB,1750,1127,1131,1000,1004,965,1002,-37,-3.69,4
12,6dB,1750,2259,2264,1002,1005,966,1003,-37,-3.68,3
9,11dB,3100,283,284,1869,1879,1717,1871,-154,-8.23,10
10,11dB,3100,566,567,1869,1873,1716,1870,-154,-8.23,4
11,11dB,3100,1133,1135,1869,1873,1717,1871,-154,-8.23,4
12,11dB,3100,2269,2274,1871,1875,1718,1872,-154,-8.22,4
